iter	Passed	Remaining
0	1085	1301715
1	2121	1271000
2	3497	1395591
3	4079	1219867
4	4513	1078653
5	5188	1032588
6	5935	1011542
7	6678	995024
8	7686	1017178
9	8438	1004133
10	9201	994613
11	9874	977614
12	10519	960488
13	11195	948426
14	11837	935175
15	12448	921158
16	13048	908053
17	13630	895074
18	14216	883652
19	14808	873710
20	15401	864676
21	16045	859158
22	16733	856312
23	17345	849944
24	17979	845015
25	18642	841778
26	19238	835824
27	19801	828815
28	20401	823787
29	20979	818216
30	21857	824234
31	22763	830871
32	23479	830316
33	24264	832134
34	24890	828499
35	25493	824297
36	26115	820887
37	26706	816665
38	27293	812498
39	27891	808843
40	28494	805487
41	29086	801953
42	29666	798240
43	30254	794880
44	30809	790773
45	31394	787591
46	31972	784358
47	32552	781256
48	33143	778525
49	33727	775733
50	34289	772513
51	34862	769655
52	35433	766829
53	35990	763803
54	36575	761436
55	37199	759939
56	37782	757633
57	38318	754474
58	38885	752008
59	39433	749234
60	40007	747021
61	40549	744278
62	41129	742289
63	41702	740228
64	42250	737764
65	42801	735412
66	43371	733431
67	43914	731045
68	44462	728804
69	45021	726773
70	45580	724789
71	46151	723036
72	46735	721520
73	47279	719413
74	47817	717265
75	48379	715507
76	48909	713314
77	49464	711529
78	50003	709549
79	50562	707879
80	51106	706024
81	51679	704601
82	52231	702919
83	52795	701430
84	53320	699433
85	53879	697921
86	54427	696299
87	54971	694637
88	55540	693322
89	56090	691786
90	56658	690490
91	57221	689148
92	57782	687793
93	58356	686624
94	58898	685082
95	59460	683791
96	60013	682417
97	60638	681878
98	61225	680900
99	61864	680505
100	62431	679328
101	63018	678375
102	63542	676758
103	64079	675297
104	64654	674258
105	65239	673320
106	65799	672135
107	66365	671031
108	66930	669919
109	67510	668970
110	68083	667958
111	68620	666598
112	69170	665379
113	69735	664318
114	70294	663217
115	70880	662365
116	71426	661156
117	71980	660026
118	72543	658983
119	73078	657706
120	73662	656870
121	74230	655903
122	74806	655015
123	75420	654451
124	76009	653684
125	76585	652799
126	77162	651935
127	77736	651042
128	78279	649901
129	78848	648985
130	79415	648056
131	79974	647064
132	80553	646243
133	81094	645125
134	81679	644361
135	82196	643063
136	82779	642296
137	83342	641375
138	83919	640564
139	84465	639523
140	84998	638391
141	85553	637431
142	86136	636690
143	86704	635833
144	87299	635176
145	87863	634304
146	88407	633286
147	88971	632421
148	89532	631531
149	90069	630489
150	90618	629526
151	91157	628510
152	91720	627656
153	92282	626801
154	92835	625894
155	93412	625145
156	93941	624083
157	94489	623154
158	95012	622061
159	95567	621187
160	96110	620240
161	96679	619466
162	97241	618644
163	97801	617816
164	98378	617098
165	98910	616102
166	99463	615247
167	100082	614791
168	100441	612755
169	101120	612674
170	101705	612019
171	102245	611095
172	102836	610481
173	103413	609782
174	103706	607422
175	104265	606636
176	104556	604299
177	105119	603552
178	105676	602771
179	106227	601956
180	106776	601134
181	107335	600371
182	107845	599337
183	108389	598495
184	108948	597746
185	109500	596954
186	110081	596324
187	110631	595528
188	111206	594868
189	111786	594231
190	112359	593563
191	112898	592718
192	113451	591948
193	113999	591151
194	114612	590696
195	115174	589972
196	115730	589224
197	116279	588444
198	116824	587643
199	117367	586836
200	117888	585925
201	118439	585163
202	119018	584538
203	119314	582534
204	119884	581877
205	120407	580996
206	120945	580186
207	121525	579583
208	122094	578927
209	122638	578153
210	123170	577325
211	123697	576476
212	124297	575971
213	124827	575138
214	125363	574340
215	125917	573622
216	126480	572951
217	127000	572083
218	127574	571462
219	128153	570867
220	128584	569612
221	129178	569084
222	129740	568415
223	130308	567771
224	130860	567061
225	131388	566250
226	131964	565643
227	132505	564893
228	133070	564240
229	133667	563729
230	134187	562888
231	134766	562301
232	135347	561719
233	135895	561003
234	136462	560366
235	137017	559683
236	137575	559011
237	138128	558317
238	138514	556957
239	139104	556419
240	139497	555095
241	140077	554522
242	140640	553881
243	141225	553325
244	141802	552739
245	142350	552042
246	142885	551296
247	143420	550547
248	143638	548594
249	144040	547355
250	144588	546670
251	145154	546059
252	145685	545312
253	146228	544613
254	146680	543582
255	147231	542917
256	147798	542310
257	148346	541636
258	148693	540235
259	149295	539762
260	149878	539218
261	150411	538496
262	150955	537814
263	151519	537205
264	152117	536716
265	152692	536146
266	153298	535684
267	153867	535093
268	154540	534859
269	155149	534404
270	155700	533748
271	156252	533095
272	156803	532443
273	157390	531909
274	157860	530984
275	158407	530320
276	158624	528557
277	159207	528019
278	159771	527417
279	160081	525980
280	160643	525378
281	161193	524735
282	161791	524250
283	162366	523690
284	162940	523125
285	163502	522522
286	164070	521938
287	164655	521408
288	165184	520703
289	165842	520402
290	166505	520115
291	167087	519573
292	167421	518264
293	168013	517754
294	168317	516363
295	168982	516081
296	169531	515444
297	169817	514012
298	170349	513326
299	170887	512663
300	171445	512058
301	172037	511556
302	172673	511183
303	172974	509820
304	173546	509258
305	174194	508920
306	174760	508342
307	175315	507732
308	175919	507263
309	176493	506707
310	177037	506066
311	177615	505521
312	177914	504186
313	178478	503605
314	178884	502579
315	179457	502027
316	180048	501523
317	180583	500862
318	181155	500308
319	181550	499263
320	182148	498781
321	182696	498160
322	183274	497622
323	183868	497126
324	184397	496454
325	184985	495944
326	185525	495302
327	186098	494750
328	186628	494083
329	187204	493538
330	187776	492985
331	188321	492359
332	188858	491713
333	189388	491048
334	189974	490530
335	190276	489282
336	190839	488707
337	191387	488095
338	191919	487440
339	192455	486798
340	193009	486202
341	193575	485636
